import time: self [us] | cumulative | imported package
import time:      7603 |       7603 |                       numpy.lib.stride_tricks
import time:     11306 |     253155 |                     numpy.lib
import time:      4263 |       4263 |                     numpy._array_api_info
import time:     52402 |     603391 |                   numpy
import time:        32 |     603422 |                 numpy._core
import time:        33 |     603454 |               numpy._core._multiarray_umath
import time:    462345 |    1065799 |             jaxlib._jax
import time:     33501 |    1099300 |           jaxlib.xla_client
import time:       396 |        396 |             jaxlib.cpu
import time:     26572 |      26572 |             jaxlib.cpu._lapack
import time:      7666 |      34633 |           jaxlib.lapack
import time:     12734 |      12734 |           jaxlib.utils
import time:        86 |         86 |               jaxlib.mlir
import time:     17862 |      17862 |               jaxlib.mlir._mlir_libs._mlir
import time:      6181 |      24129 |             jaxlib.mlir._mlir_libs
import time:     13769 |      37897 |           jaxlib.mlir._mlir_libs._jax_mlir_ext
import time:     11584 |      11584 |           jaxlib._profiler
import time:     12128 |      12128 |           jaxlib._profile_data
import time:     23699 |      23699 |             jaxlib.cpu._sparse
import time:      4990 |      28689 |           jaxlib.cpu_sparse
import time:     12883 |      12883 |           jaxlib.weakref_lru_cache
import time:     12031 |      12031 |           jaxlib._pretty_printer
import time:     10114 |      10114 |           jaxlib._ifrt_proxy
import time:      2330 |       2330 |             jaxlib.plugin_support
import time:      4336 |       6666 |           jaxlib.gpu_solver
import time:      2308 |       2308 |           jaxlib.gpu_sparse
import time:      2365 |       2365 |           jaxlib.gpu_prng
import time:      2300 |       2300 |           jaxlib.gpu_linalg
import time:      4775 |       4775 |             jaxlib.mlir.ir
import time:       428 |        428 |               jaxlib.mlir.dialects
import time:      5541 |       5541 |                 jaxlib.mlir.dialects._ods_common
import time:      8428 |      13969 |               jaxlib.mlir.dialects._stablehlo_ops_gen
import time:     28764 |      28764 |               jaxlib.mlir._mlir_libs._stablehlo
import time:      6078 |      49238 |             jaxlib.mlir.dialects.stablehlo
import time:      5238 |       5238 |             jaxlib.gpu_common_utils
import time:      3587 |      62836 |           jaxlib.gpu_rnn
import time:      5130 |       5130 |           jaxlib.gpu_triton
import time:        55 |         55 |               jaxlib.mosaic
import time:       483 |        538 |             jaxlib.mosaic.python
import time:        47 |         47 |                 jaxlib.mosaic.dialect
import time:       307 |        354 |               jaxlib.mosaic.dialect.gpu
import time:      5726 |       6080 |             jaxlib.mosaic.dialect.gpu._mosaic_gpu_gen_ops
import time:      3935 |       3935 |             jaxlib.mosaic.dialect.gpu._mosaic_gpu_gen_enums
import time:     12590 |      12590 |             jaxlib.mlir._mlir_libs._mosaic_gpu_ext
import time:      5099 |      28241 |           jaxlib.mosaic.python.mosaic_gpu
import time:      7370 |       7370 |             jaxlib.mosaic.python._tpu_gen
import time:     16437 |      16437 |             jaxlib.mlir._mlir_libs._tpu_ext
import time:      4634 |      28440 |           jaxlib.mosaic.python.tpu
import time:     27868 |    1701710 |         jax._src.lib
import time:      7442 |       7442 |         jax._src.logging_config
import time:     46439 |    1803603 |       jax._src.config
import time:       631 |        631 |         glob
import time:      5380 |       6010 |       jax._src.hardware_utils
import time:     23559 |    1858209 |     jax._src.cloud_tpu_init
import time:        98 |         98 |     libtpu
import time:     36769 |      36769 |               ml_dtypes._ml_dtypes_ext
import time:      5593 |      42361 |             ml_dtypes._finfo
import time:      5792 |       5792 |             ml_dtypes._iinfo
import time:      5494 |      53646 |           ml_dtypes
import time:      4544 |       4544 |           jax._src.literals
import time:      7625 |       7625 |               jax._src.util
import time:      5556 |      13180 |             jax._src.basearray
import time:      5555 |      18734 |           jax._src.typing
import time:      5744 |       5744 |           jax._src.traceback_util
import time:      7206 |      89873 |         jax._src.dtypes
import time:      5953 |       5953 |         jax._src.effects
import time:      2636 |       2636 |                   _json
import time:       567 |       3203 |                 json.scanner
import time:       771 |       3974 |               json.decoder
import time:       716 |        716 |               json.encoder
import time:       597 |       5286 |             json
import time:      2408 |       2408 |             pkgutil
import time:      5417 |       5417 |                 jax._src.clusters.cluster
import time:      4441 |       4441 |                 jax._src.clusters.ompi_cluster
import time:      4812 |       4812 |                 jax._src.clusters.slurm_cluster
import time:      3455 |       3455 |                     _socket
import time:      2771 |       2771 |                     array
import time:      1871 |       8096 |                   socket
import time:      5207 |      13302 |                 jax._src.clusters.mpi4py_cluster
import time:      5650 |       5650 |                 jax._src.clusters.cloud_tpu_cluster
import time:      3672 |       3672 |                       zlib
import time:     15307 |      15307 |                         numpy.random._common
import time:      2689 |       2689 |                             binascii
import time:       590 |       3279 |                           base64
import time:     19220 |      19220 |                             _hashlib
import time:      2327 |       2327 |                               _blake2
import time:      1217 |       3544 |                             hashlib
import time:      1286 |      24049 |                           hmac
import time:      1982 |       1982 |                               _bisect
import time:       374 |       2356 |                             bisect
import time:      2034 |       2034 |                             _random
import time:      1372 |       1372 |                             _sha512
import time:       901 |       6662 |                           random
import time:      6301 |      40289 |                         secrets
import time:     15689 |      71284 |                       numpy.random.bit_generator
import time:     23795 |      98750 |                     numpy.random._bounded_integers
import time:     14582 |      14582 |                         numpy.random._pcg64
import time:     19305 |      33887 |                       numpy.random._generator
import time:     15943 |      15943 |                       numpy.random._mt19937
import time:     15981 |      15981 |                       numpy.random._philox
import time:     14599 |      14599 |                       numpy.random._sfc64
import time:     21506 |      21506 |                       numpy.random.mtrand
import time:      5265 |     107178 |                     numpy.random._pickle
import time:      9563 |     215490 |                   numpy.random
import time:      5069 |     220559 |                 jax._src.clusters.k8s_cluster
import time:      5736 |     259913 |               jax._src.clusters
import time:      6267 |     266179 |             jax._src.distributed
import time:       418 |        418 |             jax_plugins
import time:      7230 |     281520 |           jax._src.xla_bridge
import time:      6614 |     288133 |         jax._src.mesh
import time:      7007 |       7007 |         jax._src.partition_spec
import time:      5608 |       5608 |         jax._src.errors
import time:      2784 |       2784 |                 _heapq
import time:       600 |       3383 |               heapq
import time:      9198 |      12580 |             difflib
import time:      6275 |      18855 |           jax._src.tree_util
import time:      7402 |      26257 |         jax._src.linear_util
import time:      1396 |       1396 |           sysconfig
import time:      1375 |       1375 |           _sysconfigdata__darwin_darwin
import time:      1112 |       1112 |           _osx_support
import time:      9799 |      13681 |         jax._src.source_info_util
import time:      3871 |       3871 |         jax._src.pretty_printer
import time:      4348 |       4348 |               jaxlib.mlir.passmanager
import time:      3982 |       8330 |             jax._src.lib.mlir
import time:      4323 |       4323 |             jax._src.lazy_loader
import time:     14949 |      14949 |               jaxlib.mlir._mlir_libs._sdyMpmd
import time:      9582 |       9582 |               jaxlib.mlir.dialects._mpmd_ops_gen
import time:      3581 |      28112 |             jaxlib.mlir.dialects.mpmd
import time:     17966 |      17966 |               jaxlib.mlir._mlir_libs._sdy
import time:      7053 |       7053 |               jaxlib.mlir.dialects._sdy_enums_gen
